steamid,steamid64,name,nationality
0:0:425766746,76561198811799220,Di3aner,ru
0:0:1007836,76561197962281400,Drew,ru
0:0:58918243,76561198078102214,Krossis1337,ru
0:0:11129814,76561197982525356,KenyII,ru
0:1:52367504,76561198065000737,Tecna,ru
0:0:195720235,76561198351706198,PegasDoggeAM,ru
0:1:435791143,76561198831848015,InfiniteC0re,ru
0:1:44383156,76561198049032041,Bloodvez,ru
0:1:26097265,76561198012460259,topoviygus,ru
0:0:110083,76561197960485894,juice,ru
0:0:18416505,76561197997098738,Unisol,by
0:1:20899101,76561198002063931,bright,by
0:1:25646482,76561198011558693,demien,by
0:1:39532362,76561198039330453,Lexus(Fly*STAR?) .by(.u,a?)
0:1:26857142,76561198013980013,Snatcher,by
0:1:13648507,76561197987562743,NooN,by
0:0:19176342,76561197998618412,Rvach,by
0:0:19416529,76561197999098786,Alyx,by
0:1:29938632,76561198020142993,ILLIDAN,by
0:0:31465072,76561198023195872,Sparta,by
0:0:3243607,76561197966752942,GeFFest,by
0:1:26836256,76561198013938241,NOi,by
0:0:35550585,76561198031366898,NOi,by
0:0:24690929,76561198009647586,Goast,by
0:0:39419312,76561198039104352,Thrx,by
0:1:44743489,76561198049752707,yeR*,by
0:1:10969105,76561197982203939,Shadum,by
0:0:17988251,76561197996242230,navi,by
0:0:25623248,76561198011512224,pain,by
0:0:18858092,76561197997981912,HobBY,by
0:0:38924668,76561198038115064,ReneGade,by
0:0:32436073,76561198025137874,Gordon,by
0:0:32733603,76561198025732934,Chake-43,by
0:0:33627741,76561198027521210,Grez,by
0:0:31353052,76561198022971832,sakol,by
0:0:13645246,76561197987556220,mouse,by
0:0:16932244,76561197994130216,*gf,by
0:1:47325611,76561198054916951,nova,by
0:1:38707911,76561198037681551,sanchez,by
0:0:31938821,76561198024143370,barmaley,by
0:1:34787945,76561198029841619,Bleach,by
0:0:2143400,76561197964552528,veLik,by
0:0:44116964,76561198048499656,ErrOr,by
0:1:47000370,76561198054266469,nap,by
0:0:49900934,76561198060067596,xolokost,by
0:0:20930559,76561198002126846,memf!s,by
0:0:35126273,76561198030518274,memf!s,by
0:1:45624542,76561198051514813,Astap,by
0:1:20133006,76561198000531741,Waider,by
0:1:33622277,76561198027510283,Mental,by
0:0:3469990,76561197967205708,Babeuwls,by
0:1:123899331,76561198208064391,RedLine,by
0:0:49626019,76561198059517766,DanieloZ,by
0:0:17775485,76561197995816698,Mad3x,ua
0:1:23885393,76561198008036515,Krutoi?,ua
0:0:19405442,76561197999076612,oSpaa??,ua
0:1:35806234,76561198031878197,6EcTu9I,ua
0:1:912563,76561197962090855,6EcTu9I,ua
0:0:13671265,76561197987608258,Alex,ua
0:0:58178265,76561198076622258,Sail,ua
0:0:47693939,76561198055653606,jerry,ua
0:1:38021119,76561198036307967,hatred,ua
0:0:50549210,76561198061364148,chort!k,ua
0:1:47557581,76561198055380891,np13pak,ua
0:1:39156639,76561198038579007,Zahar,ua
0:1:8233083,76561197976731895,slimKaa,ua
0:0:59789418,76561198079844564,slimKaa,ua
0:0:20619297,76561198001504322,slimKaa,ua
0:1:38703147,76561198037672023,freakdnb,ua
0:1:57990081,76561198076245891,hellw1sh,ua
0:0:16344797,76561197992955322,Hellw1sh,ua
0:0:11287556,76561197982840840,Hellw1sh,ua
0:0:18327040,76561197996919808,Hellw1sh,ua
0:0:47341289,76561198054948306,mayhem,ua
0:1:16132698,76561197992531125,mayhem,ua
0:1:16008897,76561197992283523,Skr1n,ua
0:1:36046932,76561198032359593,M!sha,ua
0:1:40042926,76561198040351581,Jahmal,ua
0:1:35839017,76561198031943763,En!gma,ua
0:1:26609,76561197960318947,Verba,ua
0:0:17865572,76561197995996872,Amon,ua
0:1:16764362,76561197993794453,MET!S,ua
0:1:15354461,76561197990974651,Pontiy,ua
0:0:27026290,76561198014318308,Maxi,ua
0:1:18269613,76561197996804955,Apple,ua
0:1:53503975,76561198067273679,OranGe,ua
0:1:21362069,76561198002989867,Space-man,ua
0:0:15161276,76561197990588280,Pollux,ua
0:1:8233083,76561197976731895,slim,ua
0:0:13590780,76561197987447288,Maxi,ua
0:1:15547376,76561197991360481,Bonus_05,ua
0:1:16793503,76561197993852735,CarboNagE,ua
0:1:24740640,76561198009747009,CHE,ua
0:0:39627453,76561198039520634,dmtr,ua
0:1:15632926,76561197991531581,gosu,ua
0:0:22915632,76561198006096992,CobRa,ua
0:0:48357130,76561198056979988,Falency,ua
0:0:31975059,76561198024215846,GreeN,ua
0:0:30320231,76561198020906190,Kanmiir,ua
0:1:55249120,76561198070763969,Kanmiir,ua
0:1:14316709,76561197988899147,npoToc,ua
0:0:36162,76561197960338052,Verba,ua
0:0:40328297,76561198040922322,ViruS,ua
0:1:16312400,76561197992890529,LapkaSnark,ua
0:1:39371757,76561198039009243,Nareman,ua
0:1:23719315,76561198007704359,Nareman,ua
0:0:974032519,76561199908330766,ic.*OranGe-,ua
0:0:1953365,76561197964172458,FRED,ua
0:0:64610441,76561198089486610,Raikiri,ua
0:0:51444682,76561198063155092,Liolik,ua
0:1:61434370,76561198083134469,olega7or,ua
0:0:88696988,76561198137659704,Grol,ua
0:0:18109661,76561197996485050,Rafs,ua
0:1:74868804,76561198110003337,Falency,ua
0:1:76439255,76561198113144239,deathwingua,ua
0:0:49089310,76561198058444348,SeriousHeadhunter,ua
0:1:489099161,76561198938464051,Gr!eF,ua
0:1:240570136,76561198441406001,Anklava,ua
0:1:121095663,76561198202457055,vsemizdec,ua
0:1:241853799,76561198443973327,CyberCrab,ua
0:0:91358898,76561198142983524,keep0ut,ua
0:0:158388978,76561198277043684,Noghost,ua
0:0:150524087,76561198261313902,MichaelRom,ua
0:1:491043341,76561198942352411,Maksimka,ua
0:1:102191,76561197960470111,Gr!eF,ua
0:1:189284513,76561198338834755,ruenn,ua
0:0:228130486,76561198416526700,ya_ilya,ua
0:0:210426992,76561198381119712,Alw4n,ua
0:1:17694923,76561197995655575,Berzerker,ua
0:0:456013637,76561198872293002,Maksimka,ua
0:0:229254288,76561198418774304,GauSS??,lv
0:0:1512935,76561197963291598,ert,lv
0:1:20764857,76561198001795443,rAVE,lv
0:0:4321357,76561197968908442,siska,lv
0:1:14587522,76561197989440773,DJhimik,lv
0:1:21399845,76561198003065419,DuMuk,lv
0:1:22812796,76561198005891321,limperis,lv
0:0:9317569,76561197978900866,Kung Lao,lv
0:0:10075450,76561197980416628,Kabal,lv
0:1:13283578,76561197986832885,hohoho,lv
0:1:22651812,76561198005569353,Power Fly,lv
0:0:14549438,76561197989364604,Raw,lv
0:1:12870063,76561197986005855,DeekLine,lv
0:0:15180341,76561197990626410,Siteks,lv
0:0:11144042,76561197982553812,Raiden,lv
0:1:46528635,76561198053322999,Noo/b/,lv
0:0:15696410,76561197991658548,bbb,lv
0:0:15129357,76561197990524442,ert,lv
0:0:3418741,76561197967103210,Bill Carson,lv
0:1:3440718,76561197967147165,Deploy,lv
0:1:74873105,76561198110011939,Vechs,lv
0:1:78208512,76561198116682753,Zhuk0w,lv
0:1:44568643,76561198049403015,ALLAN,lv
0:1:48272434,76561198056810597,FeDoR,fr
0:1:20401980,76561198001069689,YzoKars,fr
0:0:1308699,76561197962883126,c@m!,fr
0:0:8335253,76561197976936234,Dassen',fr
0:0:3722179,76561197967710086,Stach,fr
0:0:9126505,76561197978518738,nan0,fr
0:0:19443643,76561197999153014,BuBliZe??,fr
0:0:1201301,76561197962668330,Om,fr
0:0:21948107,76561198004161942,BiggY`,fr
0:1:1567014,76561197963399757,BiggY`,fr
0:1:2443175,76561197965152079,prostipute,fr
0:1:598595,76561197961462919,julien,fr
0:1:6924935,76561197974115599,Seb,fr
0:0:20945503,76561198002156734,Splidge,fr
0:0:10583201,76561197981432130,4c3WizZmoDe,fr
0:1:16041289,76561197992348307,Sigma,fr
0:1:1612633,76561197963490995,PaPa BouBou,fr
0:0:10433781,76561197981133290,azelthorn,fr
0:0:19119388,76561197998504504,shinare,fr
0:1:15824895,76561197991915519,W0lv(ToNy),fr
0:0:73310,76561197960412348,tEkk^,fr
0:1:7216714,76561197974699157,blasteur,fr
0:0:10870614,76561197982006956,Tails,fr
0:1:16053011,76561197992371751,Anastasia,fr
